expt_date,plasmid,ref_fluor,substrate_fluor,genotype,tail,n_end,tet_concn,clone,path,fluor_channel_names,note,substrate_ctl,file_name
20200312,pJC030,DsRed,sYFP2,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A1_A01_P4.csv
20200312,pJC030,DsRed,sYFP2,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A2_A02_P4.csv
20200312,pJC030,DsRed,sYFP2,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A3_A03_P4.csv
20200312,pJC030,DsRed,sYFP2,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A4_A04_P4.csv
20200312,pJC030,DsRed,sYFP2,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A5_A05_P4.csv
20200312,pJC030,DsRed,sYFP2,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A6_A06_P4.csv
20200312,pJC041,sYFP2,mCherry,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A7_A07_P4.csv
20200312,pJC041,sYFP2,mCherry,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A8_A08_P4.csv
20200312,pJC041,sYFP2,mCherry,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A9_A09_P4.csv
20200312,pJC041,sYFP2,mCherry,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A10_A10_P4.csv
20200312,pJC041,sYFP2,mCherry,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A11_A11_P4.csv
20200312,pJC041,sYFP2,mCherry,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A12_A12_P4.csv
20200312,pJC051,DsRed,Gamillus,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B1_B01_P4.csv
20200312,pJC051,DsRed,Gamillus,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B2_B02_P4.csv
20200312,pJC051,DsRed,Gamillus,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B3_B03_P4.csv
20200312,pJC051,DsRed,Gamillus,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B4_B04_P4.csv
20200312,pJC051,DsRed,Gamillus,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B5_B05_P4.csv
20200312,pJC051,DsRed,Gamillus,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B6_B06_P4.csv
20200312,pJC067,DsRed,ymNeonGreen,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B7_B07_P4.csv
20200312,pJC067,DsRed,ymNeonGreen,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B8_B08_P4.csv
20200312,pJC067,DsRed,ymNeonGreen,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B9_B09_P4.csv
20200312,pJC067,DsRed,ymNeonGreen,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B10_B10_P4.csv
20200312,pJC067,DsRed,ymNeonGreen,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B11_B11_P4.csv
20200312,pJC067,DsRed,ymNeonGreen,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_B12_B12_P4.csv
20200312,pJC069,DsRed,ymYPET,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_C1_C01_P4.csv
20200312,pJC069,DsRed,ymYPET,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_C2_C02_P4.csv
20200312,pJC069,DsRed,ymYPET,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_C3_C03_P4.csv
20200312,pJC069,DsRed,ymYPET,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_C4_C04_P4.csv
20200312,pJC069,DsRed,ymYPET,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_C5_C05_P4.csv
20200312,pJC069,DsRed,ymYPET,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_C6_C06_P4.csv
20200312,pJC071,sYFP2,mScarletI,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_C7_C07_P4.csv
20200312,pJC071,sYFP2,mScarletI,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_C8_C08_P4.csv
20200312,pJC071,sYFP2,mScarletI,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_C9_C09_P4.csv
20200312,pJC071,sYFP2,mScarletI,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_C10_C10_P4.csv
20200312,pJC071,sYFP2,mScarletI,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_C11_C11_P4.csv
20200312,pJC071,sYFP2,mScarletI,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_C12_C12_P4.csv
20200312,pJC072,sYFP2,ymScarletI,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_D1_D01_P4.csv
20200312,pJC072,sYFP2,ymScarletI,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_D2_D02_P4.csv
20200312,pJC072,sYFP2,ymScarletI,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_D3_D03_P4.csv
20200312,pJC072,sYFP2,ymScarletI,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_D4_D04_P4.csv
20200312,pJC072,sYFP2,ymScarletI,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_D5_D05_P4.csv
20200312,pJC072,sYFP2,ymScarletI,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_D6_D06_P4.csv
